№,Название,Отрасль,Краткое описание специфики деятельности,Дата создания,Контактная информация,Офисы (адрес/тел.),web-контакты (сайт/блог/твиттер),Учредители,Кол-во сотрудников,Управляющая команда (ФИО руководителей),Финансовые показатели за прошлые периоды (чистая прибыль),Финансирование в компанию (кто/когда/сколько) - этапы и суммы инвестиций,Поглощения других компаний (кого/когда/сколько),Инвестиции от имени компании в другие проекты (куда/когда/сколько),Exit (IPO) (где/когда/объявленная стоимость/капитализация),Котировки акций,Куплена (кем/когда/сколько),Созданные продукты,Поставщики услуг,Конкуренты,Опыт взаимодействия с институтами развития,"Участие в конкурсах, премиях",Участие в акселераторах,Потребность в инвестициях (в диапазонах),
170,"ООО ""Композит Электро""",Промышленные технологии,Создание высоковольтного кабеля повышенной эффективности с композитным сердечником, 03.02.2012,"Юридический адрес:  428008 г Чебоксары, ул Комбинатская, д 4",Телефон:  +7 (835) 2662322,"www.galen.su, facebook.com/pages/Гален, twitter.com/#!/galen_su, ",ООО Гален,,  Николаев Евгений Валерьевич  - Генеральный директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,высоковольтный кабель повышенной эффективности с композитным сердечником,ООО «СпейсВэб» ,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
171,"ООО ""Фотопласт""",Экологически чистые технологии,Разработка энергосберегающих многослойных пленочных покрытий с переменным светопропусканием, 13.03.2012,"Юридический адрес:  142432 Московская область, Ногинский район, г Черноголовка, просп Ак Семенова, д 1",Телефон:  +7 (496) 5221089,,"ИПХФ РАН, Грачев Вячеслав Петрович, Айт Антон Оскарович, Барачевский Валерий Александрович, Митушев Марат Рустамович",,  Грачев Вячеслав Петрович  - Генеральный Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Энергосберегающие многослойные пленочные покрытия с переменным светопропусканием,,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
172,"ООО ""Солар Дотс""",Промышленные технологии,"решение по повышению КПД многопереходных фотоэлектрических преобразователей за счет использования в одном из субэлементов InGaAs квантовых точек, полученных методом самоорганизации в процессе роста.", 29.03.2012,"Юридический адрес:  194021 Г САНКТ-ПЕТЕРБУРГ, УЛ ПОЛИТЕХНИЧЕСКАЯ, 2","Телефон:  +7 (812) 2927399 
Факс:  +7 (812) 2927399",,"ФТИ им. А.Ф. Иоффе, Максимов Михаил Викторович, Надточий Алексей Михайлович, Жуков Алексей Евгеньевич, Минтаиров Сергей Александрович, Лантратов Владимир Михайлович, Калюжный Николай Александрович",,Надточий Алексей Михайлович  - Генеральный Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Солнечные элементы на основе самоорганизующихся квантовых точек,,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
173,"ООО ""Оптогард Нанотех""",Промышленные технологии,"Разработка, внедрение и совершенствование новейших лазерно-плазменных промышленно-ориентированных технологий для многократного увеличения износостойкости, ударопрочности, химической и коррозийной устойчивости как вновь изготавливаемых, так и восстанавливаемых деталей машин и механизмов. 
 ",   04.10.2011,"Юридический адрес:  115114 г Москва, ул Кожевническая, д 1, стр 1","Многоканальный телефон: +7 (495) 646-8010
Факс: +7 (495) 646-8010",Сайт: www.optogard.ru,Смирнов Павел Юрьевич,,Смирнов Павел Юрьевич  - Генеральный директор,44 255 928 руб (2011),Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась, внедрение промышленно-ориентированных технологий по нанесению сверхтвердых энергоэффективных нанопокрытий на изделия любой сложности и модификации поверхности металлов инновационным лазерно-плазменным методом. ,ЗАО «Региональный Сетевой Информационный Центр»,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
174,"ООО ""СмС тензотерм Рус""",Промышленные технологии,разработка первичных полупроводниковых преобразователей на основе редкоземельного полупроводника SmS., 17.02.2012,"Юридический адрес:  191014 Г САНКТ-ПЕТЕРБУРГ, УЛ МАЯКОВСКОГО, 22-24 ЛИТЕР А ПОМ 16Н",Телефон:  +7 (921) 5579585,Сайт:www.tenzo-sms.ru,"Общество с ограниченной ответственностью ""СМС тензотерм ГмбХ"" (SmS tenzotherm GmbH), Молодых Андрей Анатольевич",,  Молодых Андрей Анатольевич  - Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Тензометрические изделия, изготовленные из редкоземельного полупроводника SmS (тензорезисторы, барорезисторы, датчики давления, силы, перемещения и др.)","ООО ""МЕГА"", ЗАО «Региональный Сетевой Информационный Центр»",,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
175,"ЗАО ""Аэрозащита""",Экологически чистые технологии,разработка комплексной системы для повышения энергоэффективности вентиляции зданий, 06.07.2010,"Юридический адрес:  630090 г Новосибирск, ул Инженерная, 20",Телефон:  +7 (383) 3061598,,ОАО Аэросервис,,  Поляков Илья Георгиевич  - генеральный директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Энергоэффективные системы вентиляции зданий,,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
176,"ООО ""Лаборатория эффективных энергетических решений""",Промышленные технологии,Создание семейства микрогазотурбинных энергетических агрегатов, 20.06.2012,"Юридический адрес:  614990 г Пермь, пр Комсомольский 93","Телефон:  +7 (342) 2113643 
Факс:  +7 (342) 2113618",,"ОАО Протон-Пермские моторы, ОАО Протон-ПМ",,  Клещевников Алексей Михайлович  - Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,микрогазотурбинные энергетические агрегаты,,,резидент Сколково,Не участвовали,"Инновационный территориальный кластер г.Пермь ""Технополис ""Новый Звездный""",Инвестиции не привлекаются,
177,"
ООО ""УниМет""",Промышленные технологии,разработка и внедрение новой технологии горячей металлизации стального металлопроката., 13.01.2010,"Юридический адрес:  660074 г Красноярск, ул Академика Киренского, д 26 А, офис Д 533",Телефон:  +7 (391) 2414716,,"Первухин Сергей Васильевич, АУ Сибирский федеральный университет",,  Павлов Евгений Александрович  - Генеральный Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Энергоэффективная технология горячей металлизации стального металлопроката,,,резидент Сколково,Не участвовали,Резидент КГАУ КРИТБИ,Инвестиции не привлекаются,
178,"ООО ""АС и ПП""",Промышленные технологии,разработка конструкции обмоток энергоэффективных высокомоментных асинхронных двигателей, 21.02.2003,"Юридический адрес:  124482 г Москва, г Зеленоград, пр Савелкинский, д 4, офис 131",Телефон:  +7 (910) 4660207,Сайт: http://as-pp.ru,"Дуюнов Дмитрий Александрович, Иванов Сергей Александрович, Яковлев Игорь Николаевич, Кремер Кирилл Вячеславович",1.-20,Яковлев Игорь Николаевич  - Генеральный Директор,566 000 руб .(2011),Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,конструкция обмоток энергоэффективных высокомоментных асинхронных двигателей п,ЗАО «Мастерхост»,,резидент Сколково,победитель двух номинаций ХI Конкурса Русских Инноваций,Не участвовали,Инвестиции не привлекаются,
179,"
ООО ""НПК ""Индустриальные геодезические системы""",ИКТ,"Разработка и создание полного комплекса программных и аппаратных решений для наземной инфраструктуры ГНСС для высокоточного позиционирования, а так же для проведения аэрофотосъемочных работ.", 08.04.2010,"Юридический адрес:  644519 Омская область, Омский район, с Калинино, ул Гагарина, д 10, офис 1",Телефон:  +7 (913) 9636988,Сайт:http://geosystems.aero,Сорокин Сергей Дмитриевич,1.-20,"Сорокин Сергей Дмитриевич  - Директор, 
Дмитрий Кисленко-Директор по маркетингу, 
Александр Мамутин-Технический директор, Геннадий Дубынин-Инженер-схемотехник, 
Сергей Тюменцев-Инженер, 
Антон Белокрылов-
Инженер-программист, 
Артём Трофимов-Программист




",(183 000) руб. 2011,10 млн. руб.,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"линейка оборудования и программного обеспечения, необходимая для инсталляции и эксплуатации наземной инфраструктуры ГНСС для высокоточного позиционирования.","Linode LLC, Группа компаний «Оптоган», ЗАО «Региональный Сетевой Информационный Центр»",,"резидент Сколково, ""СТАРТ – 11"" Фонда содействия развитию малых форм предприятий в научно-технической сфере",Не участвовали,Омский региональный бизнес-инкубатор,от 5 млн руб.,
180,"ЗАО Группа компаний ""НАВИГАТОР""",ИКТ,"Создание международного оператора геоинформационных сервисов на базе технологий глобального позиционирования ГЛОНАСС/GPS/GALILEO/ Compass
Коммерческое название проекта - «Навигационные системы будущего»", 06.03.2008,"Юридический адрес:  302006 г Орел, ул Московская, д 155",Телефон:  +7 (486) 2499090,Сайт: www.ends-russia.ru,Гусаров Андрей Васильевич,,"Семкин Александр Николаевич  - Генеральный Директор, 
Дмитрий Николаевич Крахин-
Руководитель проекта ""Навигационные системы будущего"", Новиков Алексей Олегович- Руководитель департамента спецпроектов и технической поддержки ЗАО «ЕНДС», Игошин Владислав Михайлович- Руководитель федерального информационного центра (ФИЦ).
",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"новые сервисы в области  геоинформации, навигации и телематики с использованием спутниковых систем  ГЛОНАСС/GPS/ GALILEO/ Compass.","ZoneEdit LLC, ЗАО «Региональный Сетевой Информационный Центр», ООО ""Реаспект""","М2М Телематика, Русские навигационные технологии (РНТ) (Автотрекер)",резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
181,"ООО ""Космоэнерготех""",ИКТ,"Создание технологии приема и обработки космических изображений
в режиме реального времени в учебном процессе", 18.04.2011,"Юридический адрес:  360004 г Нальчик, ул Толстого, д 175 а",Телефон:  +7 (866) 2722093,"Сайт: www.costech.su, foursquare.com/v/ооо-космоэнерготех","ГУЧ КБГУ, Шахраманьян Михаил Андраникович, Шевченко Александр Васильевич, Карамурзов Барасби Сулейманович",,Карамурзов Барасби Сулейманович  - Генеральный директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Технология приема и обработки космических изображений
в режиме реального времени в учебном процессе","ООО ""Агава-Интернет"", ЗАО «Регистратор Р01»",,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
182,"ООО ""Апиконт""",Промышленные технологии,Разработка системы инжекции спинов током в металлических наноструктурах., 15.12.2002,"Юридический адрес:  141190 Московская область, г Фрязино, пл им академика Б А Введенского, д 1","Адрес местонахождения: 141200 МОСКОВСКАЯ ОБЛ.,Г ФРЯЗИНО,ПРОСП МИРА, Д 13, КВ 156. Телефон:  +7 (49656) 60737, +7 (496) 5660737",,"Котов Виктор Дмитриевич, Михайлов Геннадий Михайлович, Зильберман Петр Ефимович, Гуляев Юрий Васильевич, Чигарев Сергей Григорьевич",,  Чигарев Сергей Григорьевич  - Директор,4 966 руб.( 2006),Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,система инжекции спинов током в металлических наноструктурах.,,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
183,"ООО Конструкторское бюро ""ГеоСтар
навигация""",ИКТ,"Разработка, производство и реализация мультисистемных ГЛОНАСС/GPS/Galileo/Compass/SBAS коммерческих и специализированных навигационных модулей", 19.01.2009,"Юридический адрес:  125167 г Москва, ул 4-я Восьмого Марта, д 3, стр 3","Адрес: Москва, Магистральная 4-я ул., 11, стр. 2. Телефон: +7 (495) 7846629",Сайт:  www.geostar-navigation.com,"ООО М2М телематика, Польщиков Вадим Петрович, Пучков Владимир Валерьевич, Шилов Александр Иванович, Немудрова Жанна Ивановна, Корнеев Игорь Леонидович, Пучков Валерий Андреевич, Дворянчиков Федор Александрович",,  Коркуш Анатолий Анатольевич  - Генеральный Директор,Нет данных,150 млн руб.,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,мультисистемные ГЛОНАСС/GPS/Galileo/Compass/SBAS коммерческих и специализированных навигационные модули,ЗАО «Региональный Сетевой Информационный Центр»,"ООО ""Навтелеком""",резидент Сколково,"диплом и золотая медаль на международной выставке ITF-2012 в Пловдиве,  премия «Живая Электроника России – 2011» в номинациях: «Глобальный бизнес» и «Приз зрительский симпатий»",Не участвовали,300 млн руб.,
184,"ЗАО ""Технологии ГЕОСКАН""",ИКТ,"разработка и создание действующей Системы Обнаружения и Мониторинга Предвестников Землетрясений,", 05.11.2004,"Юридический адрес:  123001 г Москва, пер Ермолаевский, д 11, стр 4",Телефон:  +7 (95) 3309906,на стадии разработки,"Чмырев Виталий Михайлович, Молчанов Олег Александрович",21-50,Чмырев Виталий Михайлович  - Генеральный Директор,(415 000) руб. (2009),№ грантового соглашения 7-КТИТ на 5 млн руб.,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Система Обнаружения и Мониторинга Предвестников Землетрясений,","«М2М телематика», ФГУП НИИМА «ПРОГРЕСС»",,резидент Сколково,Победитель в  конкурсе молодежных инноваций «Телеком Идея 2012» в номинации: Инновационные технические решения для систем связи,Не участвовали,300 млн руб.,
185,"ООО ""А3В5""",Промышленные технологии,разработка высокотемпературных радиационно-стойких сверх-быстродействующих силовых pin-диодов на основе гетеропереходов GaAs-А3В5, 28.09.2011,"Юридический адрес:  429952 Чувашская Республика - Чувашия, г Новочебоксарск, ул Промышленная, д 101",Телефон:  +7 (835) 2740670,foursquare.com/v/ооо-а3в5,"Navi Capital Management (BVI) Inc., Михайлов Сергей Геннадьевич",,  Тузовский Всеволод Константинович  - Генеральный директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,Высокотемпературные радиационно-стойкие сверх-быстродействующие силовые pin-диоды на основе гетеропереходов GaAs-А3В5,,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
186,"ООО ""ИСОН""",ИКТ,Создание системы мониторинга космических аппаратов и объектов искусственного происхождения на околоземных орбитах, 20.05.2011,"Юридический адрес:  125362 г Москва, ул Свободы, д 35, стр 22",Телефон:  +7 (985) 2331136,,"Савин Николай Вячеславович, Аарон Дэвид, Молотов Игорь Евгеньевич, Агапов Владимир Михайлович",,  Архаров Александр Львович  - Генеральный директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,система мониторинга космических аппаратов на основе Модульных Оптических Пунктов,,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
187,"ООО ""Центр микромеханики и современных материалов""",ИКТ,разработка программных комплексов для получения достоверных прогнозов свойств материалов с микро- и наноструктурой, 02.11.2011,"Юридический адрес:  117216 г Москва, ул Куликовская, д 20, пом i, комн 42",,в разработке,"Соляев Юрий Олегович, Тучкова Наталия Павловна, Орлов Андрей Петрович, Лурье Сергей Альбертович, Панкратов Владимир Владимирович",,  Соляев Юрий Олегович  - Генеральный директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"алгоритмы и расчётные схемы для получения достоверных прогнозов свойств материалов с микро- и наноструктурой - ""MicroMechanica""",,,резидент Сколково,Не участвовали,Не участвовали,40 млн руб.,
188,"ООО ""СЕЛЕНОХОД""",ИКТ,Разработка робота космического назначения,11/12/2009,"Юридический адрес:  141700 Московская область, г Долгопрудный, ул Заводская, д 7",Телефон:  +7 (903) 7211995,"Сайт:  www.selenokhod.com, facebook.com/selenokhod, twitter.com/selenokhod, http://selenokhod.livejournal.com/","Седых Сергей Юрьевич, Шаров Павел Сергеевич, Шахвердян Тигран Арамович, Ильин Александр Михайлович, Якубов Ренат Рушанович",,Дзись-Войнаровский Николай Николаевич  - Генеральный Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,робот космического назначения,"КБ 1901, Компания ""АСКОН"", ООО «Регтайм»",,резидент Сколково,"третье место в  конкурсе ""Заря-2011"", участвует в конкурсе ""Google Lunar X PRIZE"" (определение победителя в 2015г)",Не участвовали,40 млн руб.,
189,"ООО ""Центр трансфера технологий ""Кулон""",Промышленные технологии,Разработка технологий создания газостатических управляемых опор тяжёлых роторов вращающихся машин силовых установок космических и летательных аппаратов, 14.12.2010,"Юридический адрес:  198035 Г САНКТ-ПЕТЕРБУРГ, УЛ СТЕПАНА РАЗИНА, 7/78","Телефон:  +7 (812) 2518224 
Факс:  +7 (812) 2515116",,Владимирович Ирина Евгеньевна,,Владимирович Ирина Евгеньевна  - Генеральный директор,Нет данных,"10,15 млн руб.",,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"технология расчёта и проектирования, типовых конструкций безмасляных опор газостатического типа ",,,резидент Сколково,Не участвовали,Не участвовали,"53,99 млн руб.",
190,"ООО ""Научно-производственное предприятие ""Тензосенсор""",Промышленные технологии,разработка полиморфного переключателя с широким спектром функциональных возможностей. ,10/18/2004,"Юридический адрес:  152915 Ярославская область, г Рыбинск, ул Нансена, д 23, кв 87","Адрес местонахождения: 152915 ЯРОСЛАВСКАЯ ОБЛ.,Г РЫБИНСК,УЛ НАНСЕНА, Д 23, КВ 87. Телефон: +7 (485) 5241541 , +7 (4855) 241641 , +7 (4855) 241541",Сайт: www.tenzosensor.ru,Никитин Владимир Степанович,,"Никитин Владимир Степанович  - Директор, 
Роман Белов-
Заместитель генерального директора, 
Ольга Никитина- Финансовый директор, 
Алексей Берсенев-
Заместитель генерального директора по развитию, Робер Лэне- Независимый директор, 
Владимир Зинов- Независимый директор



",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,полиморфный переключатель,ООО «Регтайм»,,"резидент Сколково, «Старт-2004» Фонда содействия развитию малых форм предприятий в научно-технической сфере",Не участвовали,Не участвовали,"36,61 млн руб.",
191,"ЗАО ""Пауэр Синтез""",Промышленные технологии,исследование зависимости электронно - эмиссионной способности электродных материалов химических и физических источников тока от их структуры и состава. , 21.04.2011,"Юридический адрес:  129626 г Москва, ул 3-я Мытищинская, д 16, стр 14","Телефон:  +7 (495) 2340100 
Факс:  +7 (495) 2340100",Сайт:  www.powersynthesis.ru,"Рубцова Лариса Васильевна, ООО НОРЭНЕРГО",," Амбарян Арташес Андраникович  - Генеральный директор, Серов Михаил Михайлович-Научный консультант проекта, Бычковский Сергей Кириллович-Руководитель инженерной группы, Бахарев Сергей Андреевич-Технический директор. Винограденко Леонид Павлович- Директор по развитию энергетических проектов",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,методика анализа зависимости электронно - эмиссионной способности электродных материалов химических и физических источников тока от их структуры и состава. ,ЗАО «Региональный Сетевой Информационный Центр»,,резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
192,"ООО ""ИКИЗ""",ИКТ,Разработка информационных сервисов оперативного мониторинга состояния наземных биоресурсов на основе данных спутниковых наблюдений Земли., 09.02.2012,"Юридический адрес:  117997 г Москва, ул Профсоюзная, д 84/32",,,"Крашенинникова Юлия Сергеевна, Барталев Сергей Александрович, Нестеренко Андрей Алексеевич",,"  Нестеренко Андрей Алексеевич  - Генеральный Директор,Мазуров Алексей Анатольевич- Главный инженер, Барталев Сергей Александрович-Технический директор проекта, Лупян Евгений Аркадьевич- Научный руководитель проекта. ",Нет данных,10 млн руб.,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"Технологии специализированной автоматизированной обработки временных рядов спутниковых данных, Технология работы со сверхбольшими (десятки петабайт) многолетними архивами данных спутникового мониторинга Земли, Технология построения картографических веб-интерфейсов",,,резидент Сколково,Не участвовали,Не участвовали,39 млн руб.,
193,"ООО ""РНТ Лаб""",ИКТ,"ООО ""РНТ Лаб"" - дочернее предприятие ОАО ""Русские Навигационные Технологии"", крупнейшего отечественнего производителя и интегратора систем спутникового контроля транспорта под торговой маркой ""AutoTracker"". ", 02.03.2012,"Юридический адрес:  123056 г Москва, ул Большая Грузинская, д 42, офис 20","Москва, ул. Складочная д. 3 стр. 1.телефон: +8 (800) 250-5070","Сайт: www.autotracker.ru, facebook.com/AutoTrackerRus, http://twitter.com/AutoTracker_RNT",ОАО РНТ,,"Горбачев Александр Вячеславович  - Генеральный Директор, 
Нечаев Иван-Генеральный директор ОАО ""РНТ""


",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,новая технологическа платформа для систем спутникового контроля,"ЗАО «Региональный Сетевой Информационный Центр», ООО ""Инновационный хостинг""","ООО ""ЮНИКОМ телематикс"", ООО ""Антор Бизнес Решения"", ООО «МониторингАвто»",резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
194,"ООО ""Аэроб""",Промышленные технологии,"создание нового поколения беспилотных летательных аппаратов (в том числе субминиатюрных), функционирующих на принципах искусственного интеллекта.", 07.04.2011,"Юридический адрес:  107113 г Москва, пл Сокольническая, д 4 А, офис 309",Телефон:  +7 (916) 4587034,"Сайт: www.aerob.ru. https://www.facebook.com/aerobllc
http://vk.com/aerob","АМХУРСТ КЭПИТАЛ ПАРТНЕРС ЛИМИТЕД, Сатовский Борис Львович",,"Сатовский Борис Львович  - Генеральный директор, Мамонтов Андрей- Исполнительный директор, Куликов Владимир-Главный конструктор АСУ, Лернер Илья-
Научный руководитель, Никитин Денис-Ведущий специалист в области микроэлектроники и авиационных систем, Харьков Виталий Петрович - Главный специалист - система управления БПЛА",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"беспилотные летательные аппараты (в том числе субминиатюрные), функционирующих на принципах искусственного интеллекта.","ООО «Наунет СП», ЗАО «Региональный Сетевой Информационный Центр»","""Истринский Экспериментальный Механический Завод"" (ИЭМЗ), Группа компаний ""ZALAAERO""",резидент Сколково,Не участвовали,Не участвовали,Инвестиции не привлекаются,
195,"ООО ""ТРАНЗИСТ ВИДЕО""",ИКТ,Разработка и внедрение автономных систем видеонавигации на основе анализа изображений местности, 28.02.2012,"Юридический адрес:  119296 г Москва, ул Вавилова, д 54, корп 1, кв 71",,,Купервассер Олег Юрьевич,,"Купервассер Олег Юрьевич  - собственник, 
Рубинштейн Александр Александрович-Генеральный директор
",Нет данных,10 млн руб.,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,автономная система видеонавигации на основе анализа изображений местности,,ЗАО «Транзас»,резидент Сколково,Не участвовали,Не участвовали,40 млн руб.,
196,"ООО ""Ай Скай Трекер""",ИКТ,разработка системы спутникового телевидения и интернет-доступа, 22.05.2012,"Юридический адрес:  115093 г Москва, ул Большая Серпуховская, д 44, офис 19",,Сайт: www.iSkyTracker.com,"Шуралев Максим Олегович, Соколов Максим Александрович",,"Шуралев Максим Олегович  - Генеральный директор, Roberts Arthur-leading engineer, Ельцов Андрей-software engineer, Соколов Максим-hardware engineer, Арутюнова Диана-
business development, 
Алексей Косик-ментор, серийный предприниматель, Захаревич Михаил-ментор, генеральный директор «Центра коммерциализации инноваций»
",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,"система спутникового телевидения и интернет-доступа ""iSkyTracker""",Whois.com Pte Ltd,,резидент Сколково,первое место на конкурсе «Бизнес инновационных технологий» (БИТ-2012),Не участвовали,40 млн руб.,
197,"ООО ""Плазма-Ск""",Промышленные технологии,разработка универсального метода предотвращения вторичного электроразряда на элементах , 15.05.2012,"Юридический адрес:  410005 г Саратов, ул Большая Садовая, д 239","Телефон:  +7 (845) 2459523 
Факс:  +7 (8452) 459523",,"ООО Плазма-про, ЗАО ПЛАЗМАИОФАН, Ципенюк Дмитрий Юрьевич, Двоенко Александр Вилорьевич, Бархударов Эдуард Михайлович, Коссый Игорь Антонович, Анпилов Андрей Митрофанович, Лукьянчиков Геннадий Семенович, Мисакян Мамикон Арамович",,  Двоенко Александр Вилорьевич  - Директор,Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,метод предотвращения вторичного электроразряда на элементах ,,,резидент Сколково,Не участвовали,Не участвовали,100 млн руб.,
198,"ООО ""Азмерит""",ИКТ,Разработка систем навигации и ориентации в космическом пространстве., 20.06.2012,"Юридический адрес:  119992 г Москва, ул Ленинские Горы, владение 1, стр 75 Г",Телефон:  +7-916-200-3877,Сайт: www.azmerit.ru,"Захаров Андрей Игоревич, Прохоров Михаил Евгеньевич, Бирюков Антон Владимирович, Миронов Алексей Васильевич, Абубекеров Марат Керимович, Байгуттуев Алимбек Акимбекович, Мошкалев Виталий Георгиевич, Тучин Максим Сергеевич, Стекольщиков Олег Юрьевич",,"Митина Анна Геннадьевна  - Генеральный директор, Прохоров Михаил Евгеньевич- руководитель проекта, Абубекеров Марат Керимович-зам. генерального директора, Захаров Андрей Игоревич-
научный руководитель проекта, Стекольщиков Олег Юрьевич-
главный конструктор, Миронов Алексей Васильевич-
научный сотрудник, Мошкалев Виталий Георгиевич-
научный сотрудник, Бирюков Антон Владимирович-
программист, Тучин Максим Сергеевич-программист, Байгуттуев Алимбек Акимбекович-техник",Нет данных,Инвестиции не привлекались,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,малогабаритный датчик звездной ориентации минутной точности,ЗАО «Региональный Сетевой Информационный Центр»,,резидент Сколково,Не участвовали,Не участвовали,5 млн руб.,
199,"ООО ""Гаскол""",ИКТ,Создание датчика для определения ориентации космического или летательного аппарата с помощью наблюдения звезд. Особенностью прибора являются высокая частота обновления информации. Наработки: в рамках Госконтракта с Минобрнауки создана конструкторская документация и изготовлен экспериментальный образец близкого по характеристкам датчика.,  20.06.2012,"119991, Москва, Ленинские горы 1, стр. 75Г",тел.: +7-916-200-3877; mike.prokhorov@gmail.com,Сайт: www.gaskol.ru,"Захаров Андрей Игоревич, Прохоров Михаил Евгеньевич, Бирюков Антон Владимирович, Миронов Алексей Васильевич, Абубекеров Марат Керимович, Байгуттуев Алимбек Акимбекович, Мошкалев Виталий Георгиевич, Тучин Максим Сергеевич, Стекольщиков Олег Юрьевич",,"Митина Анна Геннадьевна - Генеральный директор, Прохоров Михаил Евгеньевич-
руководитель проекта, Абубекеров Марат Керимович-зам. генерального директора, Захаров Андрей Игоревич-научный руководитель проекта, Стекольщиков Олег Юрьевич-главный конструктор, Миронов Алексей Васильевич-научный сотрудник, Мошкалев Виталий Георгиевич-научный сотрудник, Бирюков Антон Владимирович-
программист, Тучин Максим Сергеевич-программист, Байгуттуев Алимбек Акимбекович-техник",Нет данных,10 млн руб.,,,Не котируется на бирже,Не котируется на бирже,Не приобреталась,датчик для определения ориентации космического или летательного аппарата с помощью наблюдения звезд.,ЗАО «Региональный Сетевой Информационный Центр»,,резидент Сколково,Не участвовали,Не участвовали,40 млн руб.,
